Method,Name,Error,Occurrences
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/7fd4a61f-0d4b-4e3c-8372-41b3898e8964 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0c448cd0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",4
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/bf59f607-92c5-4521-a3be-b52f2e9b0213/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07b76f10>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/a652f1c9-79a7-49a9-8d12-a0568d029185 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b061d0970>: Failed to establish a new connection: [Errno 110] Connection timed out'))",4
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/f9fbfda0-9564-4c5a-81ff-9790a68482a3/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0c37f040>: Failed to establish a new connection: [Errno 111] Connection refused'))",8
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1037
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/2ca3bb68-0cc8-4f21-9a94-a7aeb36bc0b7/agents/7f7ec42c-8fb0-43df-b59d-9c26482f6424 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af139f6d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/9684d461-7f91-4975-97a0-eb52be8f49c6 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05bc6550>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/payment-requests/b554e872-338b-4700-8a53-7cc07eb852b9/uploads (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af1528400>: Failed to establish a new connection: [Errno 111] Connection refused'))",18
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,409 Client Error: Conflict for url: /support/v1/mto-shipments/{mtoShipmentID}/status,294
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c36edc4b-04a3-4255-8876-9bf8341be1e1/agents/84aa4c27-0789-4fd4-9009-9f092f23dcac (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0b0ebb0>: Failed to establish a new connection: [Errno 111] Connection refused'))",10
